# Centroides de embalses de Andalucía — WGS84 (EPSG:4326)
# Fuente: OpenStreetMap contributors (Overpass API)
# Formato: nombre;latitud;longitud
Embalse del Víboras;37.63567;-3.99451
Pantano Nuevo del Angel;36.52224;-4.96543
Pantano de Carboneras;38.64129;-4.28569
Pantano de La Viñuela;36.88348;-4.17472
Pantano de Navalavaca y Almagreros;38.58449;-3.25948
Pantano de Valtravieso;38.59579;-4.78628
Pantano de la Leche;36.50641;-5.02854
Pantano de las Buitreras;38.21163;-4.17454
Pantano del Palomar;38.63744;-2.64711
Pantano del Rumblar;38.19373;-3.77599
